"","country","continent","intercept","slope","res_err_var"
"1","Afghanistan","Asia",29.9072948717949,0.275328671328671,1.49521044778554
"2","Albania","Europe",59.2291282051282,0.334683216783216,3.93253301596729
"3","Algeria","Africa",43.3749743589744,0.56927972027972,1.7503458946387
"4","Angola","Africa",32.1266538461539,0.20933986013986,1.979674706993
"5","Argentina","Americas",62.6884358974359,0.231708391608391,0.0854434914918402
"6","Australia","Oceania",68.4005128205128,0.227723776223776,0.385155014568772
"7","Austria","Europe",66.4484615384616,0.241992307692307,0.16598240384616
"8","Bahrain","Asia",52.7492051282051,0.467507692307692,2.68824402051281
"9","Bangladesh","Asia",36.1354871794872,0.498130769230769,0.953924978205125
"10","Belgium","Europe",67.8919230769231,0.209084615384615,0.0857918653846172
"11","Benin","Africa",39.5885128205128,0.334232867132867,1.37989890547785
"12","Bolivia","Americas",38.7564487179487,0.499932167832167,1.40290964673661
"13","Bosnia and Herzegovina","Europe",58.0895641025641,0.349755244755244,5.09253735058273
"14","Botswana","Africa",52.9291153846154,0.0606685314685316,37.3587117209789
"15","Brazil","Americas",51.5120384615385,0.39008951048951,0.106429835664333
"16","Bulgaria","Europe",65.7373076923078,0.14568881118881,6.29566600524461
"17","Burkina Faso","Africa",34.6846923076923,0.363974825174825,4.19058357342657
"18","Burundi","Africa",40.578641025641,0.154134265734266,2.59460522191142
"19","Cambodia","Asia",37.0154230769231,0.395902797202797,31.6985122472026
"20","Cameroon","Africa",41.2494615384615,0.250146853146853,10.5184343902098
"21","Canada","Americas",68.8838461538462,0.21886923076923,0.06212471153846
"22","Central African Republic","Africa",38.8095128205129,0.183905594405594,12.4223049054778
"23","Chad","Africa",39.8093717948718,0.253244055944055,3.35417059778553
"24","Chile","Americas",54.3177051282052,0.476844055944055,1.42287439778556
"25","China","Asia",47.1904815384616,0.530714853146853,14.8763750495698
"26","Colombia","Americas",53.4271153846154,0.38075034965035,1.72029234370629
"27","Comoros","Africa",39.996,0.450390909090909,0.22910279545455
"28","Congo, Dem. Rep.","Africa",41.9610769230769,0.0939153846153843,5.90241586538459
"29","Congo, Rep.","Africa",47.1367820512821,0.195095804195804,12.5776644103729
"30","Costa Rica","Americas",59.1047051282051,0.40278951048951,2.30690165233099
"31","Cote d'Ivoire","Africa",44.845858974359,0.130556643356643,15.4102601946386
"32","Croatia","Europe",63.8557820512821,0.22545944055944,1.31688342855473
"33","Cuba","Americas",62.2134487179487,0.321150349650349,3.02983461037293
"34","Czech Republic","Europe",67.528076923077,0.144815384615384,0.681437615384605
"35","Denmark","Europe",71.0335897435898,0.12133006993007,0.159031918414915
"36","Djibouti","Africa",36.2771538461539,0.367403496503496,1.26929902062936
"37","Dominican Republic","Americas",48.5978076923077,0.471152447552447,2.40318409160839
"38","Ecuador","Americas",49.0653717948718,0.500053146853146,0.488397756876448
"39","Egypt","Africa",40.968,0.555454545454545,1.07990663636365
"40","El Salvador","Americas",46.5119487179487,0.477141258741258,3.77519343310023
"41","Equatorial Guinea","Africa",34.4303076923077,0.310170629370629,0.108036991608392
"42","Eritrea","Africa",35.6952692307692,0.37469020979021,2.24018411573427
"43","Ethiopia","Africa",36.0281538461539,0.307185314685314,1.09711054790209
"44","Finland","Europe",66.4489743589744,0.237925174825174,0.125469490093241
"45","France","Europe",67.7901282051282,0.238501398601399,0.0484206159673673
"46","Gabon","Africa",38.9353461538461,0.446732867132867,16.4357850888112
"47","Gambia","Africa",28.4003717948718,0.581825874125873,1.31689625233103
"48","Germany","Europe",67.5681282051282,0.213683216783216,0.173122215967365
"49","Ghana","Africa",43.4927435897436,0.321742657342657,0.597979591142185
"50","Greece","Europe",67.0672051282051,0.242398601398601,0.605971765967352
"51","Guatemala","Americas",42.1193974358974,0.531273426573426,0.337768964219113
"52","Guinea","Africa",31.5569871794872,0.424830769230769,1.43016142820515
"53","Guinea-Bissau","Africa",31.7370384615385,0.271753146853147,0.414075040209789
"54","Haiti","Americas",39.2461538461539,0.397058041958042,0.706887020629361
"55","Honduras","Americas",42.9924102564102,0.542851748251748,2.44698600932402
"56","Hong Kong, China","Asia",63.428641025641,0.365970629370629,1.36401305827505
"57","Hungary","Europe",65.9928205128205,0.123648951048951,1.4092683100233
"58","Iceland","Europe",71.9635897435898,0.165375524475524,0.298998077505839
"59","India","Asia",39.2697564102564,0.505320979020979,2.975257059324
"60","Indonesia","Asia",36.8831153846154,0.634641258741258,0.416732016433569
"61","Iran","Asia",44.9789871794872,0.49663986013986,0.441736923659675
"62","Iraq","Asia",50.1134615384616,0.235210489510489,16.4600325856643
"63","Ireland","Europe",67.5414615384615,0.19911958041958,0.228344512937061
"64","Israel","Asia",66.3004102564103,0.267106293706294,0.133765827505826
"65","Italy","Europe",66.5967948717949,0.269710489510489,0.173672002330996
"66","Jamaica","Americas",62.6609871794872,0.221394405594405,4.22690415547784
"67","Japan","Asia",65.1220512820513,0.352904195804195,1.87469121037294
"68","Jordan","Asia",44.063858974359,0.57172937062937,3.64520110827505
"69","Kenya","Africa",47.0020384615385,0.206507692307692,19.2034500538461
"70","Korea, Dem. Rep.","Asia",54.9056025641026,0.316426573426573,15.117914614219
"71","Korea, Rep.","Asia",49.7275,0.5554,1.37884589999999
"72","Kuwait","Asia",57.4593333333333,0.416836363636363,3.10765699393939
"73","Lebanon","Asia",58.687358974359,0.26102937062937,1.50732365827502
"74","Lesotho","Africa",47.3790256410256,0.0955657342657341,35.2115668719114
"75","Liberia","Africa",39.8364230769231,0.0959937062937062,3.14293101083916
