"","country","continent","intercept","slope","res_err_var"
"1","Equatorial Guinea","Africa",34.4303076923077,0.310170629370629,0.108036991608392
"2","Mauritania","Africa",40.0256025641026,0.446417482517482,0.166082582400936
"3","Comoros","Africa",39.996,0.450390909090909,0.22910279545455
"4","Mali","Africa",33.0512307692308,0.37680979020979,0.231941065734268
"5","Canada","Americas",68.8838461538462,0.21886923076923,0.06212471153846
"6","Argentina","Americas",62.6884358974359,0.231708391608391,0.0854434914918402
"7","Brazil","Americas",51.5120384615385,0.39008951048951,0.106429835664333
"8","Paraguay","Americas",62.4818333333334,0.157354545454545,0.153207753030305
"9","Israel","Asia",66.3004102564103,0.267106293706294,0.133765827505826
"10","Pakistan","Asia",43.7229615384616,0.405792307692307,0.162355603846152
"11","Indonesia","Asia",36.8831153846154,0.634641258741258,0.416732016433569
"12","Iran","Asia",44.9789871794872,0.49663986013986,0.441736923659675
"13","Sweden","Europe",71.605,0.166254545454545,0.0448456363636416
"14","Switzerland","Europe",69.453717948718,0.222231468531468,0.0461869376456882
"15","France","Europe",67.7901282051282,0.238501398601399,0.0484206159673673
"16","Belgium","Europe",67.8919230769231,0.209084615384615,0.0857918653846172
"17","Australia","Oceania",68.4005128205128,0.227723776223776,0.385155014568772
"18","New Zealand","Oceania",68.6869230769231,0.192820979020979,0.646974342657346
